python,threads,seconds
3.12,1,1.5232975100002477
3.12,1,1.5152002730001186
3.12,1,1.5093664769997304
3.12,1,1.5102836619998925
3.12,1,1.5141319659996952
3.12,2,3.170594612000059
3.12,2,3.167410438999923
3.12,2,3.1841503089999605
3.12,2,3.189135288000216
3.12,2,3.336082341000292
3.12,3,4.869438209999771
3.12,3,4.902084120999916
3.12,3,4.868864010999914
3.12,3,5.143975595000029
3.12,3,5.153054969000095
3.12,4,6.991564450999704
3.12,4,6.77579274000027
3.12,4,6.946960171999763
3.12,4,6.838164402000075
3.12,4,6.886344981000093
3.12,5,8.355532738999955
3.12,5,8.643900620999375
3.12,5,8.44884121999985
3.12,5,8.442169003000345
3.12,5,8.634912126000017
3.12,6,10.192847919000087
3.12,6,10.570352777000153
3.12,6,10.364811161000034
3.12,6,10.269238099000177
3.12,6,10.419044133999705
3.12,7,12.154497258000447
3.12,7,12.435035720999622
3.12,7,12.056603042999996
3.12,7,12.436911310999676
3.12,7,12.51670318000015
3.12,8,13.878770345999328
3.12,8,14.02550836699993
3.12,8,13.736038105000262
3.12,8,14.410847880999427
3.12,8,14.718670563999694
3.12,9,15.478375365999455
3.12,9,16.205163347000052
3.12,9,15.958408841000164
3.12,9,15.493583411000145
3.12,9,15.807245262999459
3.12,10,18.09663851700043
3.12,10,17.667385165999804
3.12,10,17.877299729000697
3.12,10,17.554315546999533
3.12,10,17.554402442000537
3.13,1,1.561747123999794
3.13,1,1.562759018000179
3.13,1,1.5617610940003033
3.13,1,1.560544236000169
3.13,1,1.5674175130002368
3.13,2,3.5071269690001827
3.13,2,3.2589372039997215
3.13,2,3.3407667559999936
3.13,2,3.385114064999925
3.13,2,3.2989410159998442
3.13,3,5.101223997000034
3.13,3,5.051788232000035
3.13,3,5.1156283330001315
3.13,3,5.093960451999919
3.13,3,5.064664527000332
3.13,4,6.854811000000154
3.13,4,6.844086958999924
3.13,4,6.8015537390001555
3.13,4,6.850542841000333
3.13,4,6.764329403999909
3.13,5,8.670427138999912
3.13,5,8.630183572000078
3.13,5,8.53583493699989
3.13,5,8.55562391300009
3.13,5,8.571972575000018
3.13,6,10.39753192499984
3.13,6,10.3440590109999
3.13,6,10.291454918
3.13,6,10.325381320999895
3.13,6,10.414761610000369
3.13,7,12.123231669999768
3.13,7,12.228487938999933
3.13,7,12.18473633199983
3.13,7,12.242742549000013
3.13,7,12.047462686000017
3.13,8,13.912882652000008
3.13,8,13.89692600699982
