price,year,condition,cylinders,fuel,odometer,transmission,size,type
18490,2014,excellent,6 cylinders,gas,64000,automatic,full-size,sedan
10400,2013,like new,4 cylinders,gas,48454,automatic,full-size,sedan
15500,2013,excellent,4 cylinders,gas,92653,automatic,mid-size,sedan
8995,2011,good,4 cylinders,gas,48000,automatic,compact,sedan
8950,2016,like new,4 cylinders,gas,30750,automatic,mid-size,hatchback
11000,2016,excellent,4 cylinders,gas,68000,automatic,mid-size,sedan
13303,2015,excellent,4 cylinders,gas,57441,automatic,compact,hatchback
8995,2007,like new,6 cylinders,gas,97000,automatic,full-size,sedan
14990,2011,excellent,4 cylinders,gas,58814,automatic,sub-compact,sedan
9899,2015,excellent,4 cylinders,gas,89000,automatic,compact,sedan
7399,2012,like new,4 cylinders,gas,99000,automatic,compact,sedan
9899,2015,excellent,4 cylinders,gas,89000,automatic,compact,sedan
4999,2005,excellent,4 cylinders,gas,89000,automatic,compact,hatchback
9399,2011,like new,6 cylinders,gas,96000,automatic,compact,sedan
10399,2015,like new,4 cylinders,gas,93000,automatic,compact,sedan
11499,2015,like new,4 cylinders,gas,92000,automatic,compact,sedan
8299,2013,like new,4 cylinders,gas,81000,automatic,compact,sedan
7399,2011,like new,4 cylinders,gas,97000,automatic,compact,sedan
6499,2007,like new,4 cylinders,gas,97000,automatic,compact,hatchback
8999,2008,like new,4 cylinders,gas,66000,automatic,compact,sedan
9499,2014,like new,4 cylinders,gas,83000,automatic,compact,sedan
10399,2015,like new,4 cylinders,gas,71000,automatic,compact,sedan
7999,2015,like new,6 cylinders,gas,98000,automatic,compact,sedan
8299,2013,like new,4 cylinders,gas,80000,automatic,compact,sedan
16995,2017,excellent,4 cylinders,gas,69802,automatic,mid-size,sedan
13950,2018,excellent,4 cylinders,gas,25000,automatic,compact,sedan
7995,2004,good,6 cylinders,gas,98035,automatic,mid-size,coupe
13950,2018,excellent,4 cylinders,gas,49000,automatic,compact,sedan
6500,2014,excellent,4 cylinders,gas,119,automatic,full-size,sedan
1200,2011,good,4 cylinders,gas,89603,automatic,mid-size,sedan
23800,2018,like new,4 cylinders,gas,14930,automatic,full-size,sedan
13000,2017,excellent,4 cylinders,gas,62000,automatic,compact,hatchback
7995,2004,good,6 cylinders,gas,98035,automatic,mid-size,coupe
13795,2019,like new,4 cylinders,gas,679,automatic,compact,hatchback
6800,2014,excellent,4 cylinders,gas,90000,automatic,full-size,coupe
11500,2008,like new,6 cylinders,gas,36250,automatic,full-size,wagon
6900,2006,excellent,6 cylinders,gas,122,automatic,compact,sedan
6600,2005,like new,6 cylinders,gas,79400,automatic,full-size,sedan
3900,2001,excellent,4 cylinders,gas,85000,automatic,compact,sedan
17900,2014,excellent,6 cylinders,gas,52,automatic,mid-size,sedan
1900,2004,excellent,4 cylinders,gas,77661,automatic,mid-size,sedan
12500,2011,excellent,6 cylinders,gas,69149,automatic,full-size,sedan
3800,2007,good,4 cylinders,gas,68500,automatic,compact,sedan
3500,2001,like new,4 cylinders,gas,92000,automatic,mid-size,sedan
30500,2017,excellent,6 cylinders,gas,47500,automatic,full-size,sedan
8400,2013,good,4 cylinders,gas,50000,manual,mid-size,sedan
1000,2019,like new,4 cylinders,gas,36300,automatic,full-size,sedan
14750,2012,excellent,6 cylinders,gas,87500,automatic,full-size,sedan
6900,2018,salvage,4 cylinders,gas,16440,automatic,mid-size,sedan
17500,2013,excellent,6 cylinders,gas,38000,automatic,mid-size,hatchback
8500,2014,excellent,4 cylinders,gas,85043,automatic,compact,coupe
14900,2012,like new,6 cylinders,diesel,69400,automatic,mid-size,sedan
6800,2015,excellent,4 cylinders,gas,74455,automatic,full-size,sedan
3200,2007,good,4 cylinders,gas,81400,automatic,mid-size,sedan
7900,2012,good,4 cylinders,gas,96377,automatic,mid-size,sedan
9499,2009,excellent,6 cylinders,gas,96900,automatic,mid-size,sedan
17900,2015,excellent,6 cylinders,gas,57600,automatic,full-size,sedan
8650,2012,good,4 cylinders,gas,95000,automatic,mid-size,sedan
6990,2008,excellent,4 cylinders,gas,79000,automatic,compact,sedan
7990,2009,excellent,6 cylinders,gas,92000,automatic,compact,sedan
12500,2017,good,4 cylinders,gas,60000,automatic,full-size,sedan
12000,2012,like new,4 cylinders,gas,43485,automatic,compact,coupe
1000,2017,like new,4 cylinders,gas,34658,automatic,full-size,sedan
6900,2013,excellent,4 cylinders,gas,75000,automatic,full-size,sedan
6900,2014,excellent,4 cylinders,gas,90000,automatic,full-size,hatchback
9995,2009,good,4 cylinders,gas,89252,automatic,compact,sedan
14281,2015,good,4 cylinders,gas,64147,automatic,full-size,sedan
14281,2016,good,4 cylinders,gas,87088,automatic,full-size,sedan
9000,2010,good,4 cylinders,gas,52000,automatic,compact,sedan
9300,2011,excellent,6 cylinders,gas,84000,automatic,full-size,sedan
5500,2007,excellent,6 cylinders,gas,90685,automatic,full-size,sedan
9900,2014,excellent,4 cylinders,gas,77000,automatic,compact,sedan
7200,2014,like new,4 cylinders,gas,57000,automatic,compact,sedan
7495,2005,excellent,4 cylinders,gas,86181,automatic,sub-compact,sedan
5995,2012,excellent,4 cylinders,gas,96781,automatic,compact,hatchback
8299,2004,excellent,6 cylinders,gas,98643,automatic,compact,coupe
1,2014,excellent,4 cylinders,gas,63494,manual,compact,sedan
1,2012,excellent,6 cylinders,gas,66000,manual,mid-size,coupe
10800,2009,like new,6 cylinders,gas,64450,automatic,compact,coupe
28900,2018,excellent,6 cylinders,gas,7644,automatic,mid-size,coupe
6500,2007,good,4 cylinders,gas,98000,automatic,mid-size,wagon
19977,2012,excellent,6 cylinders,gas,57530,automatic,sub-compact,coupe
8299,2006,excellent,6 cylinders,gas,71754,automatic,full-size,sedan
5888,2012,excellent,4 cylinders,gas,69471,manual,compact,coupe
10500,2012,excellent,4 cylinders,gas,63000,automatic,mid-size,sedan
7490,2012,excellent,4 cylinders,gas,80412,automatic,compact,sedan
19500,2014,like new,6 cylinders,gas,20750,automatic,mid-size,coupe
4499,2004,new,6 cylinders,gas,85000,automatic,full-size,sedan
3950,2003,excellent,4 cylinders,gas,11200,automatic,mid-size,sedan
12900,2016,like new,4 cylinders,gas,58000,automatic,full-size,sedan
15500,2011,excellent,6 cylinders,gas,25982,automatic,full-size,sedan
9500,2012,excellent,4 cylinders,gas,93000,automatic,full-size,sedan
4999,2005,excellent,4 cylinders,gas,58352,automatic,mid-size,hatchback
18950,2011,excellent,6 cylinders,gas,21410,automatic,mid-size,sedan
16298,2014,like new,6 cylinders,gas,62122,automatic,full-size,sedan
13998,2018,like new,4 cylinders,gas,15195,automatic,compact,sedan
12500,2013,excellent,4 cylinders,gas,28135,automatic,compact,wagon
7850,2015,like new,4 cylinders,gas,23340,automatic,sub-compact,hatchback
1200,2003,fair,6 cylinders,gas,80000,automatic,mid-size,sedan
9500,2014,like new,6 cylinders,gas,79000,automatic,full-size,sedan
9500,2012,excellent,4 cylinders,gas,93000,automatic,full-size,sedan
13999,2015,excellent,6 cylinders,gas,55090,automatic,mid-size,sedan
17750,2017,excellent,4 cylinders,gas,16759,automatic,compact,wagon
6300,2011,excellent,4 cylinders,gas,88000,automatic,mid-size,sedan
6990,2012,excellent,4 cylinders,gas,80412,automatic,compact,sedan
7990,2014,excellent,4 cylinders,gas,95034,automatic,compact,sedan
8500,2001,like new,6 cylinders,gas,17500,automatic,full-size,sedan
3300,2002,excellent,4 cylinders,gas,169,automatic,full-size,sedan
28000,2019,excellent,4 cylinders,gas,33000,automatic,mid-size,hatchback
14896,2013,excellent,4 cylinders,gas,51820,automatic,full-size,sedan
6000,2008,excellent,6 cylinders,gas,90587,automatic,full-size,sedan
6900,2013,excellent,4 cylinders,gas,77000,manual,compact,sedan
9450,2014,excellent,4 cylinders,gas,55000,automatic,compact,sedan
5700,2007,good,4 cylinders,gas,61000,automatic,compact,sedan
8500,2015,excellent,4 cylinders,gas,58000,automatic,compact,hatchback
443,2019,like new,6 cylinders,gas,46931,automatic,full-size,wagon
6500,2014,like new,4 cylinders,gas,77000,automatic,mid-size,sedan
16000,2016,excellent,6 cylinders,gas,53750,automatic,full-size,sedan
18200,2014,excellent,6 cylinders,gas,12293,automatic,mid-size,sedan
594,2019,excellent,6 cylinders,gas,20218,automatic,full-size,sedan
2998,2002,excellent,4 cylinders,gas,64000,automatic,compact,sedan
28700,2020,like new,4 cylinders,gas,20000,automatic,mid-size,sedan
5998,2004,excellent,4 cylinders,gas,85000,automatic,mid-size,sedan
9250,2011,excellent,4 cylinders,diesel,86540,automatic,mid-size,hatchback
16200,2015,like new,4 cylinders,gas,45900,automatic,full-size,sedan
